CODIGO;name;COD_P;description
FA10000041;Ácido fusídico;1170;Ácido fusídico 20 mg/g Cr Bisn 15 g
FA10025960;Lidocaína;745;Lidocaína 20 mg/g Gel Bisn 30 g
FA10044059;Mupirocina;824;Mupirocina 20 mg/g Pom nas Bisn 3 g
FA10059004;Pantoprazol;892;Pantoprazol 40 mg Pó sol inj Fr IV
FA10055842;Lidocaína + Cloro-hexidina;1439;Lidocaína 20 mg/g + Cloro-hexidina 0.5 mg/g Gel 11
FA10026381;Ibuprofeno;71;Ibuprofeno 20 mg/ml Susp oral Fr 200 ml xar.
FA10059043;Pilocarpina;918;Pilocarpina 20 mg/ml Col, monodoses 0.5 ml
FA10086193;Lidocaína;745;Lidocaína 20 mg/ml Sol inj Fr 20 ml IM SC
FA10086040;Lidocaína + Adrenalina;1569;Lidocaína 20 mg/ml + Adrenalina 0.01 mg/ml Sol inj
FA10006165;Amiodarona;7;AmiODAROna 200 mg Comp
FA10006891;Albendazol;151;Albendazol 200 mg Comp
FA10010879;Carbamazepina;23;Carbamazepina 200 mg Comp
FA10071960;Ciprofloxacina;35;CIPROfloxacina 200 mg/100 ml Sol inj Fr 100 ml IV
FA10064290;Dopamina;472;DOPamina 200 mg/5 ml Sol inj Fr 5 ml IV
FA10012912;Ácido valpróico;1834;Ácido valpróico 200 mg/ml Sol oral Fr 50 ml xar.
FA10031760;Cloreto de sódio;380;Cloreto de sódio 200 mg/ml Sol inj Fr 10 ml IV
FA10027946;Aminofilina;170;AmiNOFilina 225 mg Comp LP
FA10000340;Amoxicilina + Ácido clavulânico;9;Amoxicilina 2000 mg + Ácido clavulânico 200 mg Pó
FA10059488;Metilprednisolona;795;Metilprednisolona 2000 mg Pó sol inj Fr IM IV
FA10033810;Aminofilina;170;AmiNOFilina 240 mg/10 ml Sol inj Fr 10 ml IV
FA10080945;Fosfato dissódico + Fosfato monossódico;2501;Fosfato dissódico 240 mg/ml + Fosfato monossódico
FA10042318;Fentanilo;550;Fentanilo 25 µg/h Sist transd
FA10000707;Captopril;21;Captopril 25 mg Comp
FA10005840;Hidroxizina;660;Hidroxizina 25 mg Comp
FA10010391;Espironolactona;53;Espironolactona 25 mg Comp
FA10026068;Baclofeno;209;Baclofeno 25 mg Comp
FA10034912;Carvedilol;287;CaRVEDILol 25 mg Comp
FA10056182;Melperona;774;Melperona 25 mg Comp
FA10069817;zonisamida;2608;Zonisamida 25 mg Cáps
FA10003272;Prednisolona;945;Prednisolona 25 mg Pó sol inj Fr IA IM IV
FA10056741;Cloropromazina;387;Cloropromazina 25 mg/5 ml Sol inj Fr 5 ml IM
FA10078691;Labetalol;716;Labetalol 25 mg/5 ml Sol inj
FA10048374;Lidocaína + Prilocaína;1573;Lidocaína 25 mg/g + Prilocaína 25 mg/g Cr Bisn 5 g
FA10001894;Metronidazol;80;MetRONIDAZOL 250 mg Comp
FA10002890;Paracetamol;95;Paracetamol 250 mg Sup
FA10052337;Saccharomyces boulardii;1931;Saccharomyces boulardii 250 mg Cáps
FA10003120;Prednisolona;945;Prednisolona 250 mg Pó sol inj Fr IA IM IV
FA10079156;Rifamicina;985;Rifamicina 250 mg/3 ml Sol inj Fr 3 ml Cutâneo IM
FA10066550;Fenitoína;542;Fenitoína 250 mg/5 ml Sol inj Fr 5 ml IM IV
FA10004883;Amoxicilina + Ácido clavulânico;9;Amoxicilina 250 mg/5 ml + Ácido clavulânico 62.5 m
FA10039902;Imunoglobulina humana contra o tétano;679;Imunoglobulina humana contra o tétano 250 U.I./1 m
FA10026641;Ácido aminocapróico;1167;Ácido aminocapróico 2500 mg/10 ml Sol inj Fr 10 ml
FA10029370;Heparina sódica;646;Heparina sódica 25000 U.I./5 ml Sol inj Fr 5 ml IV
FA10010886;Citrato de sódio + Laurilsulfoacetato de sódio;1763;Citrato de sódio 270 mg/3 ml + Laurilsulfoacetato
FA10013940;Óxido de zinco;1239;Óxido de zinco 270 mg/g Pom Bisn 20 g
FA10047913;Benzoato de benzilo;226;Benzoato de benzilo 277mg/ml Sol cut Fr 200ml xar.
FA10009510;Bromazepam;244;Bromazepam 3 mg Comp
FA10006553;Ofloxacina;91;Ofloxacina 3 mg/ml Col, sol Fr 10 ml
FA10002284;Morfina;822;Morfina 30 mg Comp LP
FA10010320;Nifedipina;88;Nifedipina 30 mg Comp LP
FA10030052;Gliclazida;67;Gliclazida 30 mg Comp LM
FA10067314;Cetorolac;321;Cetorolac 30 mg/1 ml Sol inj Fr 1 ml IM IV
FA10005953;Tioconazol;1087;Tioconazol 300 mg Óvulo
FA10008846;Alopurinol;3;aloPURINol 300 mg Comp
FA10014870;Clonixina;368;Clonixina 300 mg Cáps
FA10015584;Gabapentina;605;Gabapentina 300 mg Cáps
FA10080330;Acetilcisteína;139;Acetilcisteína 300 mg/3 ml Sol inj Fr 3 ml Cutâneo
FA10066899;Metadoxina;788;Metadoxina 300 mg/5 ml Sol inj Fr 5 ml IM IV
FA10030465;Glucose;630;Glucose 300 mg/ml Sol inj Fr 20 ml IV
FA10045061;Ácido aminocapróico;1167;Ácido aminocapróico 3000 mg Pó sol oral Saq
FA10018858;Glucose + Cloreto de sódio;2379;Glucose 33 mg/ml + Cloreto sódio 3 mg/ml Sol 500
FA10041821;Lidocaína + Adrenalina;1569;Lidocaína 36 mg/1.8 ml + Adrenalina 0.04 mg/1.8 ml
FA10031802;Brometo de vecurónio;16;Brometo de vecurónio 4 mg Pó sol inj Fr IV
FA10099285;Dexametasona;425;DEXAmetasona 4 mg/ml Sol inj
FA10008173;Tiocolquicosido;1086;Tiocolquicosido 4 mg/2 ml Sol inj Fr 2 ml IM
FA10013081;Oxibuprocaína;881;Oxibuprocaína 4 mg/ml Col, sol Fr 10 ml
FA10005330;Cloreto de sódio;380;Cloreto de sódio 4.5 mg/ml Sol inj Fr 500 ml IV
FA10015285;Furosemida;65;Furosemida 40 mg Comp
FA10057380;Esomeprazol;1792;Esomeprazol 40 mg Comp GR
FA10069621;Esomeprazol;1792;Esomeprazol 40 mg Pó sol inj Fr IV
FA10001093;Enoxaparina sódica;492;Enoxaparina sódica 40 mg/0.4 ml Sol inj Ser 0.4 ml
FA10001450;Gentamicina;66;Gentamicina 40 mg/1 ml Sol inj Fr 1 ml IM IV
FA10059463;Metilprednisolona;795;Metilprednisolona 40 mg Pó sol inj Fr IM IV
FA10079779;Metilprednisolona;795;Metilprednisolona 40 mg/1 ml Susp inj Fr 1 ml Intr
FA10003009;Paracetamol;95;Paracetamol 40 mg/ml Xar Fr 85 ml xar.
FA10034474;Iodopovidona;699;Iodopovidona 40 mg/ml Espuma cut Fr 500 ml
FA10013003;Pentoxifilina;905;Pentoxifilina 400 mg Comp LM
FA10004919;Amoxicilina + Ácido clavulânico;9;Amoxicilina 400 mg/5 ml +Ác. clavulânico 57mg xar.
FA10003030;Piperacilina + Tazobactam;1608;Piperacilina 4000 mg + Tazobactam 500 mg Pó sol in
FA10026310;Diosmina;456;Diosmina 450 mg Comp
FA10013829;Citrato de sódio + Laurilsulfoacetato de sódio;1763;Citrato de sódio 450 mg/5 ml + Laurilsulfoacetato
FA10079252;Polistireno sulfonato de sódio;2553;Polistireno sulfonato de sódio 454g Gran Oral xar.
FA10003062;Prednisolona;945;Prednisolona 5 mg Comp
FA10006724;Lisinopril;74;Lisinopril 5 mg Comp
FA10010459;Dinitrato de isossorbida;454;Dinitrato de isossorbida 5 mg Comp
FA10010822;Diazepam;45;DIazepam 5 mg Comp
FA10011194;Finasterida;558;Finasterida 5 mg Comp
FA10016298;Selegilina;102;Selegilina 5 mg Comp
FA10017457;Amlodipina;174;AmLODIPina 5 mg Comp
FA10025824;Nifedipina;88;Nifedipina 5 mg Cáps
FA10026602;Metolazona;800;Metolazona 5 mg Comp
FA10029139;Bisoprolol;64;Bisoprolol 5 mg Comp
FA10030814;Ramipril;973;Ramipril 5 mg Cáps
FA10042810;Perindopril;908;Perindopril 5 mg Comp
FA10060782;Varfarina;1136;Varfarina 5 mg Comp
FA10050165;Haloperidol;70;HaloPERIDol 5 mg/1 ml Sol inj Fr 1 ml IM IV
FA10079875;Dexametasona;425;DEXAmetasona 5 mg/1 ml Sol inj Fr 1 ml IArticular
FA10063522;Droperidol;481;Droperidol 5 mg/2 ml Sol inj Fr 2 ml IM IV
FA10010676;Nitroglicerina;860;Nitroglicerina 5 mg/24 h Sist transd
FA10013619;Oxitetraciclina;884;Oxitetraciclina 5 mg/g Pom oft Bisn 5 g
FA10010562;Prednisolona + Neomicina + Sulfacetamida;1599;Prednisolona 5 mg/g + Neomicina 5 mg/g + Sulfaceta
FA10014429;Fenilefrina;540;Fenilefrina 5 mg/ml Sol lav nas Fr 15 ml
FA10019839;Midazolam;81;Midazolam 15 mg/3 ml Sol inj Fr 3 ml IM IV
FA10043217;Levofloxacina;740;Levofloxacina 5 mg/ml Sol inj Fr 100 ml IV
FA10059748;Salbutamol;1003;Salbutamol 5 mg/ml Sol inal neb Fr 10 ml
FA10006133;Fentanilo;550;Fentanilo 50 µg/h Sist transd
FA10006927;Atenolol;11;Atenolol 50 mg Comp
FA10007420;Fluconazol;564;Fluconazol 50 mg Cáps
FA10008320;Diclofenac;46;Diclofenac 50 mg Comp
FA10009827;Melperona;774;Melperona 50 mg Comp
FA10015399;Tramadol;111;Tramadol 50 mg Cáps
FA10030807;Oxazepam;879;OXazepam 50 mg Comp
FA10035149;Nitrato de prata;2386;Nitrato de prata 50 mg cut
FA10045346;Acarbose;127;Acarbose 50 mg Comp
FA10048381;Dimenidrinato;451;Dimenidrinato 50 mg Sup
FA10003137;Prednisolona;945;Prednisolona 50 mg Pó sol inj Fr IA IM IV
FA10065410;Efedrina;486;Efedrina 50 mg/1 ml Sol inj Fr 1 ml IM IV SC
FA10010217;Ranitidina;101;Ranitidina 50 mg/2 ml Sol inj Fr 2 ml IM IV
FA10044109;Dexpantenol;1193;Dexpantenol 50 mg/g Cr Bisn 30 g
FA10081075;Policresaleno + Cinchocaína;1407;Policresaleno 50 mg/g + Cinchocaína 10 mg/g Pom re
FA10016978;Glucose;630;Glucose 50 mg/ml Sol inj Fr 100 ml IV
FA10025070;Glucose + Cloreto de sódio;2379;Glucose 50 mg/ml + Cloreto sódio 9 mg/ml Sol 500
FA10025094;Glucose + Cloreto de sódio;2379;Glucose 50 mg/ml + Cloreto sódio 9 mg/ml Sol 1000
FA10002512;Paracetamol;95;Paracetamol 500 mg Comp
FA10002932;Paracetamol;95;Paracetamol 500 mg Sup
FA10003226;Metronidazol;80;MetRONIDAZOL 500 mg Óvulo
FA10007826;Acetazolamida;138;Acetazolamida 500 mg Cáps
FA10011220;Ciprofloxacina;35;CIPROfloxacina 500 mg Comp
FA10015837;Claritromicina;350;cLARITROmicina 500 mg Comp
FA10025831;Carbonato de cálcio;282;Carbonato de cálcio 500 mg Comp
FA10028051;Messalazina;786;Messalazina 500 mg Comp GR
FA10028090;Azitromicina;204;Azitromicina 500 mg Comp
FA10028457;Tiopental sódico;1088;Tiopental sódico 500 mg Pó sol inj Fr IV
FA10029993;Flucloxacilina;58;Flucloxacilina 500 mg Cáps
FA10034086;Claritromicina;350;cLARITROmicina 500 mg Pó sol inj Fr IV
FA10043587;Levofloxacina;740;LEVOfloxacina 500 mg Comp
FA10048246;Ácido valpróico;1834;Ácido valpróico 500 mg Comp LP
FA10000276;Amoxicilina + Ácido clavulânico;9;Amoxicilina 500 mg + Ácido clavulânico 125 mg Comp
FA10071840;Imipenem + Cilastatina;1403;Imipenem 500 mg + Cilastatina 500 mg Pó sol inj Fr
FA10034823;Cetamina;315;Cetamina 500 mg/10 ml Sol inj Fr 10 ml IM IV
FA10058393;Lactulose;721;Lactulose 500 mg/ml  Fr 200 ml xar.
FA10023563;Bacitracina;2013;Bacitracina 500 U.I./g Pom Bisn 20 g
FA10014144;Sulfato ferroso;1038;Sulfato ferroso 525 mg Comp LP
FA10035003;Adenosina;147;Adenosina 6 mg/2 ml Sol inj Fr 2 ml IV
FA10008440;Carvedilol;287;CaRVEDILol 6.25 mg Comp
FA10000899;Diltiazem;449;Diltiazem 60 mg Comp
FA10001111;Enoxaparina sódica;492;Enoxaparina sódica 60 mg/0.6 ml Sol inj Ser 0.6 ml
FA10005630;Acetilcisteína;139;Acetilcisteína 600 mg Comp eferv
FA10079754;Cloreto de potássio;378;Cloreto de potássio 600 mg Comp LP
FA10012798;Picossulfato de sódio;915;Picossulfato de sódio 7.5mg/ml Sol oral  30ml xar.
FA10060597;Ropivacaína;999;ROpivacaína 7.5 mg/ml Sol inj Fr 20 ml Epidural Pe
FA10076637;Articaína + Adrenalina;1309;Articaína 72 mg/1.8 ml + Adrenalina 0.036 mg/1.8 m
FA10024277;Cloreto de potássio;378;Cloreto de potássio 74.5 mg/ml Sol inj Fr 10 ml IV
FA10045008;Fentanilo;550;Fentanilo 75 µg/h Sist transd
FA10009179;Clopidogrel;369;Clopidogrel 75 mg Comp
FA10018687;Diclofenac;46;Diclofenac 75 mg/2 ml Sol inj Fr 2 ml IM
FA10010256;Diclofenac;46;Diclofenac 75 mg/3 ml Sol inj Fr 3 ml IM IV
FA10032854;Ondansetrom;875;Ondansetrom 8 mg/4 ml Sol inj Fr 4 ml IV
FA10010509;Cloranfenicol;370;Cloranfenicol 8 mg/ml Col, sol Fr 5 ml
FA10038444;Valsartan;1727;Valsartan 80 mg Comp
FA10044582;Valsartan + Hidroclorotiazida;1623;Valsartan 80 mg + Hidroclorotiazida 12.5 mg Comp
FA10026965;Gentamicina;66;GENTAmicina 80 mg/2 ml Sol inj Fr 2 ml IM IV
FA10015132;Sulfametoxazol + Trimetoprim;104;Sulfametoxazol 800 mg + Trimetoprim 160 mg Comp
FA10008351;Proteínosuccinilato de ferro;1280;Proteínosuccinilato de ferro 800 mg/15 ml Sol oral
FA10035626;Bicarbonato de sódio;236;Bicarbonato de sódio 84 mg/ml Sol inj Fr 20 ml IV
FA10000244;Amoxicilina + Ácido clavulânico;9;Amoxicilina 875 mg + Ácido clavulânico 125 mg Comp
FA10096391;Amoxicilina + Ácido clavulânico;9;Proteínas coagulantes Pó cola tec Fr 2 ml
FA10005405;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 100 ml IV
FA10005412;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 1000 ml IV
FA10005451;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 250 ml IV
FA10005490;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 500 ml IV
FA10057341;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 10 ml IV
FA10019561;Acetilsalicilato de lisina;1;Acetilsalicilato de lisina 900 mg Pó sol inj Fr IM
FA10069653;Gluconato de cálcio;69;Gluconato de cálcio 94 mg/ml Sol inj Fr 10 ml IM I
FA10004716;Aminoácidos + Electrólitos + Glucose + Lípidos;2025;A.A. 7 g/l N + Glucose 75 g/l + Lípidos + Electról
FA10006215;Multivitaminas + Sais minerais + Ácido fólico;1879;Multivitaminas + Sais minerais + Ácido fólico Comp
FA10022900;Electrólitos + Glucose;1898;Polielectrol + Glucose 5 mg/ml Sol inj Fr 1000 ml
FA10023620;Electrólitos + Glucose;1898;Polielectrol + Glucose 5 mg/ml Sol inj Fr 500 ml I
FA10029720;Electrólitos;1897;Polielectrol Sol inj Fr 1000 ml IV
FA10030636;Electrólitos;1897;Polielectrol Sol inj Fr 500 ml IV
FA10044689;Prednisolona + Neomicina + Polimixina B;1703;Prednisolona + Neomicina + Polimixina B Col, susp
FA10067030;Vitaminas do complexo B + Biotina;1901;Complexo B + Biotina Comp
FA20000026;Metformina + Vidagliptina;2915;MetFORMINA 1000 mg + Vildagliptina 50 mg
FA10006788;Polisulfato sódico de pentosano;1275;Polisulfato sodico pentosano+Azuleno Pom Bisn 100g
FA10012894;0;0;Propinoxato 3.2 mg/ml Sol oral Fr 20 ml xar.
FA10022625;0;0;Ioversol 678 mg/ml Sol inj Ser 100 ml IV
FA10023289;0;0;Ioversol 678 mg/ml Sol inj Fr 200 ml IV
FA10026762;0;0;Apraclonidina 5 mg/ml Col, sol Fr 5 ml
FA10033568;polielectrólitos;2918;Sol. polielectrolítica p/lav. Pó sol oral Saq xar.
FA10035050;0;0;Sulprostona 0.5 mg Pó sol inj Fr IV
FA10048140;0;0;Docusato de sódio 10 mg +Sorbitol 13400 mg Sol rec
FA10060241;0;0;Fluoresceína2.5 mg/ml+Oxibuprocaína4mg/ml Col 3ml
FA10085159;0;0;Fluoresceína 100 mg/ml Sol inj Fr 5 ml IV
FA10091984;0;0;Droperidol 2.5 mg/ml Sol inj Fr 1 ml IV
FA10094806;0;0;Sugamadex 100 mg/ml Sol inj Fr 2 ml IV
FA10096392;0;0;Proteínas coagulantes Pó cola tec Fr 4 ml
FA20000012;0;0;Cocaína 2g/20g pst
FA20000014;0;0;Carvão activado pó 250 g
FA20000016;0;0;Cloro-hexidina digluconato 100 mg/100 ml 1Lt xar.
FA20000017;Cloro-hexidina;383;Cloro-hexidina 2 mg/g Gel bucal Bisn 40ml
FA20000019;0;0;POLIDOCANOL 2% Solução injectável
FA20000020;0;0;POLIDOCANOL 0.5% Solução injectável
FA20000022;0;0;Cloreto de metiltionina 100 mg/10 ml
FA20000035;0;0;Água oxigenada 10V 500 ml
FA20000036;0;0;Álcool etílico 70% 250 ml
FA20000040;óleo de amendoas doces;2928;Óleo de amêndoas doces 1 Lt
FA20000045;0;0;Triamcinolona Acetonido 40 mg/ml
FAR1265028;Diclofenac;46;GLUCOSE 5% H20 IV - 1000 ml
FA10009236;Aciclovir;2;Aciclovir 800 mg Comp
FA10009948;Benzilpenicilina benzatínica;223;Benzilpenicilina benzatínica 2.4 M.U.I. Pó susp in
FA10010434;Amitriptilina;173;AmiTRIPTilina  25 mg Comp
FA10011073;Bisacodilo;240;Bisacodilo 10 mg Sup
FA10011714;quetiapina;2917;QUETIapina 100 mg Comp
FA10013754;Cefuroxima;31;CefUROXIMA 500 mg Comp
FA10015367;Losartan;1717;Losartan 50 mg Comp
FA10021975;Fosfomicina;2920;Fosfomicina 3000 mg Gran Saq
FA10026545;Haloperidol;70;HaloPERIDol 1 mg Comp
FA10040331;Glucosamina;629;Glucosamina 1500 mg Pó sol oral Saq
FA10047070;Mianserina;805;Mianserina 30 mg Comp
FA10052853;Tiamina;107;tiaMINA 100 mg Comp
FA10057334;Cloreto de sódio;380;Cloreto de sódio 9 mg/ml Sol inj Fr 5 ml IV
FA10069849;Benzilpenicilina benzatínica + Benzilpenicilina potássica + Benzilpenicilina procaínica;1350;Benzilpenicilina benzatínica 0.6 M.U.I. + potássic
FA10091393;Ropinirol;998;Ropinirol 8 mg Comp LP
FA10091767;quetiapina;2917;QUETIapina 50 mg Comp LP
FA10092794;0;0;Clopidogrel 300 mg Comp
FA10094667;rivaroxabano;2609;Rivaroxabano 10 mg Comp
FA20000054;Suplemento Alimentar;999999;Hipoclorito sódico 5.25% 250 ml
MED1024006;0;0;Promanum 500ml
FA10034556;Gelatina + Cloreto de sódio + Hidróxido de sódio;1432;Gelatina + Cloreto de sódio + Hidróxido de sódio S
FA10000582;Betametasona;232;BETAmetasona 1 mg/g Cr Bisn 30 g
FA10013505;Diazepam;45;DIazepam 5 mg/2.5 ml Sol rect Cânula 2.5 ml
FA10101318;Esmolol;2513;Esmolol 10 mg/ml Sol inj Fr 10 ml IV
FA20000034;0;0;Éter etílico 1 Lt
FA20000048;0;0;Dermabond Mini AHVM12
FA10051185;Levetiracetam;1207;LeveTIRACETAM 500 mg Comp
FA10000066;Ácido fusídico;1170;Ácido fusídico 10 mg/g Gel oft Bisn 5 g
FA10030732;Dobutamina;47;DOBUTamina 12.5 mg/ml Sol inj Fr 20 ml IV
FA10054594;Etomidato;522;Etomidato 2 mg/ml Emul inj Fr 10 ml IV
FA10054384;Lidocaína + Cloro-hexidina;1439;Lidocaína 20 mg/g + Cloro-hexidina 0.5 mg/g Gel 6
FA10026171;Ibuprofeno;71;Ibuprofeno 400 mg Comp
FA10043669;Ácido fólico;1171;Ácido fólico 5 mg Comp
FA10025781;Sertralina;1012;Sertralina 50 mg Comp
